Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 07/30/2020,,Start Date, 07/30/2020,,Start Date, 07/30/2020,
1,Start Time, 11-35-00,,Start Time, 11-35-50,,Start Time, 12-02-31,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1420,,0113,228,,0113,230,
10,Paradigm, DD_P1_vf,,Paradigm, DD_P1_vf,,Paradigm, DD_P1_vf,
463,5520,45143031,,8529,,0.0,8070,49104412,
464,81171,45143032,,9529,,0.0,8071,49104427,
465,81271,45143032,,5520,8693117,,8070,49104887,
466,81270,45143105,,81171,8693117,,8071,49105815,
467,8070,45143887,,81271,8693117,,81170,49105886,
468,8071,45143945,,81270,8693190,,8070,49106368,
469,8070,45144282,,8070,8694788,,8071,49106714,
470,8071,45144909,,81170,8696118,,8070,49108282,
471,8070,45145281,,8071,8714632,,8071,49109929,
472,81170,45146033,,8070,8714971,,8070,49111770,
473,7071,45175291,,8071,8715103,,8071,49111793,
474,7070,45175868,,8070,8715638,,8070,49111805,
475,71519,,1.0,71519,,0.0,8071,49112280,
476,81519,,0.0,81519,,2.0,8070,49112380,
477,91519,,0.0,91519,,0.0,8071,49112424,
478,5521,45186033,,5521,8741118,,8070,49112451,
479,8071,45196728,,8071,19416847,,8071,49125350,
480,7529,,0.0,7529,,0.0,8070,49125878,
481,8529,,0.0,8529,,0.0,71519,,0.0
482,9529,,0.0,9529,,0.0,81519,,6.0
483,5520,45196729,,5520,19416848,,91519,,0.0
484,81171,45196730,,81171,19416848,,5521,49165886,
485,81271,45196730,,81271,19416848,,8071,49168918,
486,81270,45196803,,81270,19416921,,7529,,0.0
487,8070,45197249,,8070,19418287,,8529,,0.0
488,8071,45197287,,81170,19419849,,9529,,0.0
489,8070,45197338,,71519,,0.0,5520,49168919,
490,8071,45197547,,81519,,0.0,81171,49168919,
